"Round","Population","Family","Replicate","daytemp","nighttemp","StemIN","StemOUT","secondarytotIN","secondarytotOUT","AvgsecondaryIN","AvgsecondaryOUT","TotIN_Sub","TotOUT_Sub","RGRTOT1","RGRTOT1x"
4,"I1",263,0.02,45,35,0.7,1.4,0,2,0,0.2,0.7,1.8,0.224489795918367,0.224489795918367
4,"I1",264,0.01,45,35,1.5,0,0,0,0,0,1.5,0,-0.142857142857143,0
4,"I11",310,0.03,25,15,0.3,2.1,0,2,0,2.2,0.3,6.5,2.95238095238095,2.95238095238095
4,"I11",310,0.04,25,15,0.9,2.4,0,5,0,2.9,0.9,16.9,2.53968253968254,2.53968253968254
4,"I12",314,0.06,20,10,3,3.6,0,4,0,0.4,3,5.2,0.104761904761905,0.104761904761905
4,"I16",326,0.03,25,15,1.6,2.3,0,3,0,1.7,1.6,7.4,0.517857142857143,0.517857142857143
4,"I16",326,0.02,45,35,0.7,1.1,0,1,0,0.5,0.7,1.6,0.183673469387755,0.183673469387755
4,"I2",267,0.04,25,15,1.5,3.7,0,6,0,2.1,1.5,16.3,1.40952380952381,1.40952380952381
4,"I2",267,0.01,45,35,2.3,2.3,0,0,0,0,2.3,2.3,0,0
4,"I3",269,0.06,20,10,3,3.3,0,0,0,0,3,3.3,0.0142857142857143,0.0142857142857143
4,"I3",269,0.04,25,15,1.9,3.3,0,7,0,1.7,1.9,15.2,1,1
4,"I3",271,0.03,25,15,1.1,2.8,0,6,0,0.9,1.1,8.2,0.922077922077922,0.922077922077922
4,"I3",273,0.01,45,35,1.5,0,0,0,0,0,1.5,0,-0.142857142857143,0
4,"I3",273,0.02,45,35,1.3,0,0,0,0,0,1.3,0,-0.142857142857143,0
4,"I4",274,0.01,45,35,0.6,1.3,0,9,0,0.6,0.6,6.7,1.45238095238095,1.45238095238095
4,"I4",275,0.02,45,35,1.6,1,0,0,0,0,1.6,1,-0.0535714285714286,0
4,"I4",277,0.04,25,15,1.2,1.9,0,5,0,2.4,1.2,13.9,1.51190476190476,1.51190476190476
3,"I4",278,0.03,30,20,2.3,2.8,0,3,0,0.3,2.3,3.7,0.0869565217391304,0.0869565217391304
3,"I4",278,0.04,30,20,1.8,5.1,0,3,0,1.2,1.8,8.7,0.547619047619048,0.547619047619048
4,"I5",279,0.06,20,10,1.2,3,0,6,0,0.6,1.2,6.6,0.642857142857143,0.642857142857143
4,"I5",279,0.03,25,15,1.2,3.2,0,6,0,1.7,1.2,13.4,1.45238095238095,1.45238095238095
4,"I5",279,0.04,25,15,0.8,3.8,0,6,0,2.2,0.8,17,2.89285714285714,2.89285714285714
4,"I5",279,0.01,45,35,1.2,1.6,0,6,0,0.3,1.2,3.4,0.261904761904762,0.261904761904762
4,"I5",279,0.02,45,35,1.2,1.2,0,6,0,0.4,1.2,3.6,0.285714285714286,0.285714285714286
4,"I5",283,0.06,20,10,0.5,1.5,0,2,0,1,0.5,3.5,0.857142857142857,0.857142857142857
4,"I5",283,0.04,25,15,0.8,2.1,0,4,0,1.2,0.8,6.9,1.08928571428571,1.08928571428571
4,"I6",288,0.03,25,15,0.6,1.6,0,6,0,1.2,0.6,8.8,1.95238095238095,1.95238095238095
4,"I7",292,0.06,20,10,4.7,11.7,0,0,0,0,4.7,11.7,0.212765957446808,0.212765957446808
3,"I7",292,0.03,30,20,2.9,8.2,0,0,0,0,2.9,8.2,0.261083743842364,0.261083743842364
3,"I7",292,0.04,30,20,3.8,12.3,0,1,0,4.5,3.8,16.8,0.488721804511278,0.488721804511278
3,"I7",292,0.02,40,30,3.1,7.4,0,0,0,0,3.1,7.4,0.19815668202765,0.19815668202765
3,"I7",292,0.05,45,35,4,5.8,0,0,0,0,4,5.8,0.0642857142857143,0.0642857142857143
3,"I7",292,0.06,45,35,5.3,5.4,0,0,0,0,5.3,5.4,0.00269541778975743,0.00269541778975743
4,"I7",292,0.02,45,35,1.8,0,0,0,0,0,1.8,0,-0.142857142857143,0
4,"I7",292,0.01,45,35,2.6,3.4,0,0,0,0,2.6,3.4,0.0439560439560439,0.0439560439560439
