"","daytemp","Family","RGR","Population","PopulationI"
"1",-18.3093525179856,35,0.179989470038442,"N8",30
"2",-18.3093525179856,36,0.192392742327585,"N8",30
"3",-18.3093525179856,50,0.158232721636859,"N9",31
"4",-18.3093525179856,52,0.249333898420785,"N9",31
"5",-18.3093525179856,54,0.130039170357213,"N9",31
"6",-18.3093525179856,65,0.160358063604933,"N10",14
"7",-18.3093525179856,66,0.14122701504878,"N10",14
"8",-18.3093525179856,67,0.0974948732637125,"N10",14
"9",-18.3093525179856,81,0.25983537272114,"N12",15
"10",-18.3093525179856,82,0.251817901302529,"N12",15
"11",-18.3093525179856,84,0.338781791978593,"N12",15
"12",-18.3093525179856,137,0.252855353124502,"N16",16
"13",-18.3093525179856,139,0.282174401282729,"N16",16
"14",-18.3093525179856,140,0.168716328976423,"N16",16
"15",-18.3093525179856,147,0.27960979277748,"N18",17
"16",-18.3093525179856,148,0.139906605922224,"N18",17
"17",-18.3093525179856,153,0.256640617823542,"N19",18
"18",-18.3093525179856,154,0.094142969726208,"N19",18
"19",-18.3093525179856,156,0.207288508483292,"N20",19
"20",-18.3093525179856,158,0.249931245083525,"N20",19
"21",-18.3093525179856,159,0.127035370577487,"N20",19
"22",-18.3093525179856,161,0.202931521917976,"N21",20
"23",-18.3093525179856,164,0.113617916761807,"N21",20
"24",-18.3093525179856,165,0.11352692020928,"N21",20
"25",-18.3093525179856,168,0.18083611139033,"N22",21
"26",-18.3093525179856,169,0.0666722179131466,"N22",21
"27",-18.3093525179856,170,0.198746269421994,"N22",21
"28",-18.3093525179856,182,0.370864309150693,"N23",22
"29",-18.3093525179856,183,0.140193627206738,"N23",22
"30",-18.3093525179856,184,0.0826069777462107,"N23",22
"31",-18.3093525179856,191,0.217688934577372,"N24",23
"32",-18.3093525179856,192,0.0853923626551054,"N24",23
"33",-18.3093525179856,193,0.260641536184844,"N24",23
"34",-18.3093525179856,202,0.0819267721906109,"N26",24
"35",-18.3093525179856,205,0.212288333936051,"N26",24
