Round,Population,Range,Family,Replicate,daytemp,nighttemp,StemIN,StemOUT,secondarytotIN,secondarytotOUT,AvgsecondaryIN,AvgsecondaryOUT
4,I1,I,263,0.02,45,35,0.7,1.4,0,2,0,0.2
4,I1,I,264,0.01,45,35,1.5,0,0,0,0,0
3,I1,I,260,0.02,40,30,5.1,7.1,4,4,0.2,2.7
4,I1,I,263,0.04,25,15,5.8,10.6,1,10,0.2,2.8
3,I1,I,263,0.01,40,30,2.3,6.1,5,9,0.2,0.8
4,I1,I,260,0.06,20,10,3.3,8.7,4,10,0.3,1.1
3,I1,I,260,0.03,30,20,3.2,16.9,6,10,0.3,3.8
3,I1,I,260,0.04,30,20,6.7,10.5,3,10,0.3,3.7
3,I1,I,260,0.05,45,35,5.7,0,4,0,0.3,NA
3,I1,I,260,0.06,45,35,5.2,0,6,0,0.3,NA
4,I1,I,263,0.03,25,15,5.2,5.3,4,13,0.3,1.4
4,I1,I,263,0.01,45,35,0.8,0.9,3,6,0.3,0.8
3,I1,I,264,0.04,30,20,2.2,3.5,5,13,0.3,2.4
3,I1,I,264,0.02,40,30,1.6,3.1,6,13,0.3,2.1
3,I1,I,264,0.06,45,35,2.8,3.3,7,5,0.3,0.3
3,I1,I,263,0.05,45,35,4.3,0,6,0,0.4,NA
4,I1,I,260,0.02,45,35,4.6,5.1,4,6,0.5,0.8
4,I1,I,263,0.05,20,10,1.3,2.5,7,11,0.5,1.8
3,I1,I,263,0.03,30,20,2.7,4.1,8,13,0.5,2.3
4,I1,I,264,0.04,25,15,4.8,10.7,8,14,0.5,3.4
4,I1,I,264,0.02,45,35,2.7,0,4,0,0.5,0
4,I1,I,264,0.03,25,15,1.7,2.2,4,8,0.6,3.3
3,I1,I,264,0.01,40,30,2.9,5.8,6,8,0.6,3.1
5,I1,I,263,0.01,10,0,8.1,9.1,8,8,0.6,1.1
5,I1,I,260,0.01,10,0,2.7,3.5,6,8,0.6,1.2
5,I1,I,264,0.01,10,0,2.3,3.1,6,9,0.6,1.2
3,I1,I,263,0.04,30,20,3.3,4.7,8,16,0.7,4.8
4,I1,I,264,0.06,20,10,2.7,6.5,8,10,0.7,2.3
4,I1,I,264,0.05,20,10,4.1,7.7,8,12,0.7,3.6
3,I1,I,264,0.03,30,20,4.8,13.3,6,16,0.7,3.1
5,I1,I,264,0.02,10,0,1.2,1.6,6,7,0.7,1.1
4,I1,I,260,0.01,45,35,6.2,7.3,4,6,0.8,0.7
3,I1,I,260,0.01,40,30,7.9,12,6,12,0.9,3.2
3,I1,I,263,0.02,40,30,1.8,4.4,7,15,0.9,2.8
3,I1,I,264,0.05,45,35,4.5,0,15,0,1,NA
5,I1,I,263,0.02,10,0,7.7,8.1,9,10,1.1,1.1
4,I1,I,263,0.06,20,10,1.2,2.6,5,6,1.2,6.4
3,I1,I,263,0.06,45,35,1.7,1.8,3,6,1.2,0.3
5,I1,I,260,0.02,10,0,3.2,3.3,6,6,1.2,1.7
4,I1,I,260,0.04,25,15,4.8,8.6,4,8,1.4,2.1
4,I1,I,260,0.05,20,10,5.1,7.1,8,11,1.7,4.7
4,I1,I,260,0.03,25,15,4.7,15.1,1,10,1.8,2.6
3,I10,I,302,0.02,40,30,2.3,4.7,4,10,0.3,2.2
4,I10,I,306,0.04,25,15,2.3,3.2,5,8,0.3,2.3
3,I10,I,306,0.06,45,35,2.3,2.3,5,6,0.3,0.3
3,I10,I,306,0.02,40,30,4.8,5.6,8,6,0.4,1.6
4,I10,I,302,0.04,25,15,2.2,5.5,4,14,0.5,4.6
4,I10,I,302,0.01,45,35,2.7,3.7,6,6,0.5,1
4,I10,I,305,0.06,20,10,4.3,5.2,4,9,0.5,3.3
4,I10,I,305,0.02,45,35,0.7,1.2,4,4,0.5,1
4,I10,I,306,0.02,45,35,5.1,4.3,7,6,0.5,0.7
4,I10,I,306,0.01,45,35,4.4,0,8,0,0.5,0
5,I10,I,305,0.01,10,0,4.9,6.2,6,8,0.5,0.7
3,I10,I,302,0.04,30,20,3.6,6.3,6,10,0.6,2.8
3,I10,I,305,0.04,30,20,3.8,5.5,6,10,0.6,1.2
3,I10,I,306,0.01,40,30,1.1,5.3,6,9,0.6,2.3
4,I10,I,302,0.05,20,10,1.9,5.2,5,6,0.7,1.9
4,I10,I,302,0.02,45,35,3.3,3.9,6,8,0.7,1.1
4,I10,I,305,0.05,20,10,1.9,3.6,8,8,0.7,4
4,I10,I,305,0.03,25,15,1.8,4.9,6,11,0.7,3.5
4,I10,I,305,0.01,45,35,4.4,5.7,6,8,0.7,1.1
3,I10,I,306,0.03,30,20,0.5,2,4,8,0.7,2.1
5,I10,I,306,0.02,10,0,6.6,7.2,2,2,0.7,1.7
3,I10,I,302,0.01,40,30,5.8,10,8,12,0.8,1.2
5,I10,I,305,0.02,10,0,4.6,6.3,8,8,0.8,0.9
5,I10,I,306,0.01,10,0,2.5,3.1,6,6,0.8,1.7
3,I10,I,306,0.05,45,35,1.2,1.7,8,8,0.9,0.6
3,I10,I,305,0.05,45,35,0.3,4.4,5,7,1,1.4
5,I10,I,302,0.02,10,0,3.3,4.2,8,8,1,1
4,I10,I,302,0.03,25,15,3.6,11.6,8,12,1.1,2.7
3,I10,I,302,0.03,30,20,3.7,10.2,6,14,1.1,3.3
4,I10,I,305,0.04,25,15,6.1,9.6,5,14,1.1,3.6
4,I10,I,306,0.05,20,10,4.7,6.1,8,13,1.2,2.8
3,I10,I,306,0.04,30,20,1.7,3,6,11,1.2,3.1
4,I10,I,302,0.06,20,10,4.7,8.6,8,14,1.4,6.5
3,I10,I,302,0.06,45,35,1,1.6,5,7,1.5,2.9
4,I10,I,306,0.06,20,10,2.6,5.1,6,8,1.5,3.5
4,I10,I,306,0.03,25,15,1.2,4.2,5,7,1.7,2.1
3,I10,I,302,0.05,45,35,3.5,5.6,7,8,1.8,2.2
3,I10,I,305,0.06,45,35,6.7,7.2,4,5,2.2,2.9
3,I10,I,305,0.03,30,20,7.8,6.5,8,10,2.3,8.2
5,I10,I,302,0.01,10,0,6.3,6.8,6,6,2.4,3.5
3,I10,I,305,0.01,40,30,2.7,6.2,1,7,2.5,1.6
4,I11,I,310,0.03,25,15,0.3,2.1,0,2,0,2.2
4,I11,I,310,0.04,25,15,0.9,2.4,0,5,0,2.9
4,I11,I,308,0.04,25,15,2.2,10.1,7,10,0.3,4.7
4,I11,I,310,0.02,45,35,0.9,1.3,2,4,0.3,0.6
4,I11,I,308,0.03,25,15,2.2,7.2,2,9,0.4,1.7
3,I11,I,309,0.02,40,30,3.3,10.6,8,16,0.4,3.1
4,I11,I,309,0.02,45,35,5.3,6.6,5,7,0.4,0.7
4,I11,I,311,0.01,45,35,2.7,3.7,8,8,0.4,0.8
3,I11,I,310,0.01,40,30,3.4,9.2,6,10,0.5,0.8
3,I11,I,309,0.01,40,30,4.5,11.5,9,14,0.6,3.4
3,I11,I,309,0.05,45,35,3.1,0,9,0,0.6,NA
4,I11,I,310,0.05,20,10,0.8,1.2,1,4,0.6,2.3
3,I11,I,310,0.04,30,20,7.4,20.1,7,13,0.6,6
4,I11,I,310,0.01,45,35,1.5,1.4,6,5,0.6,0.8
4,I11,I,311,0.04,25,15,3.3,7.7,6,14,0.6,1.7
3,I11,I,311,0.01,40,30,3.8,9,9,17,0.6,1.3
4,I11,I,311,0.02,45,35,1.6,2.3,3,7,0.6,0.8
4,I11,I,308,0.01,45,35,3.1,4.6,5,5,0.7,1.6
3,I11,I,310,0.05,45,35,3.9,0,8,0,0.7,NA
4,I11,I,311,0.06,20,10,1.6,4.3,6,8,0.7,2.1
5,I11,I,310,0.01,10,0,1.6,2.2,6,6,0.7,1.2
3,I11,I,308,0.02,40,30,6.4,10.2,8,14,0.8,1.5
4,I11,I,309,0.03,25,15,7,11.2,6,12.1,0.8,5.8
3,I11,I,310,0.03,30,20,3.6,15.7,6,7,0.8,3.4
3,I11,I,310,0.06,45,35,2.9,0,6,0,0.8,1.9
4,I11,I,311,0.05,20,10,2.5,9.1,6,8,0.8,2.7
3,I11,I,311,0.05,45,35,3.5,4.1,10,10,0.9,1.4
3,I11,I,311,0.06,45,35,3.8,5.2,8,8,0.9,2.5
5,I11,I,311,0.01,10,0,3.5,4.1,7,9,0.9,0.9
5,I11,I,308,0.02,10,0,4.7,5.1,8,8,0.9,1.6
5,I11,I,311,0.02,10,0,3.4,4.1,7,7,0.9,1.7
3,I11,I,308,0.05,45,35,5.5,0,7,0,1,NA
4,I11,I,308,0.02,45,35,4.7,5.6,8,7,1,1.8
4,I11,I,309,0.04,25,15,5.7,13.4,11,15,1,8.5
5,I11,I,310,0.02,10,0,2.8,3.2,4,6,1.1,1.2
5,I11,I,309,0.02,10,0,6.3,7.1,6,10,1.1,1.3
4,I11,I,309,0.06,20,10,4.7,11.1,9,13,1.2,3
4,I11,I,311,0.03,25,15,3.9,6.7,8,12,1.2,2.1
5,I11,I,308,0.01,10,0,8.1,8.7,8,9,1.2,1.6
3,I11,I,310,0.02,40,30,3.2,9.1,8,12,1.4,1.7
4,I11,I,309,0.01,45,35,8.3,5.6,8,4,1.5,0.5
5,I11,I,309,0.01,10,0,5.7,6.8,7,9,1.5,2.5
3,I11,I,309,0.03,30,20,4.7,12.7,6,10,1.6,5.5
4,I11,I,310,0.06,20,10,4.8,8.6,6,8,1.6,2.2
3,I11,I,311,0.04,30,20,3.2,13.5,7,13,1.6,3.2
4,I11,I,309,0.05,20,10,0.7,20.6,7,17,1.7,4.7
3,I11,I,309,0.06,45,35,6.8,0,12,0,1.7,NA
3,I11,I,311,0.03,30,20,4.7,17.8,5,5,1.7,10.5
4,I11,I,308,0.06,20,10,5.7,14.6,6,13,1.8,2.5
3,I11,I,309,0.04,30,20,6,20.4,10,15,2,4.1
3,I11,I,308,0.03,30,20,8.9,18.8,9,18,2.1,6.6
3,I11,I,308,0.04,30,20,7.2,22,10,16,2.2,2.4
3,I11,I,308,0.06,45,35,8.1,0,9,0,2.2,NA
3,I11,I,308,0.01,40,30,7.9,15.5,7,16,2.5,4.3
4,I12,I,314,0.06,20,10,3,3.6,0,4,0,0.4
4,I12,I,313,0.01,45,35,1.7,2.3,1,4,0.1,0.1
3,I12,I,313,0.01,40,30,3.2,3.2,4,4,0.2,1.1
4,I12,I,313,0.02,45,35,2.5,1.5,2,2,0.2,0.7
3,I12,I,314,0.04,30,20,2.2,7.9,6,10,0.2,1.9
3,I12,I,314,0.05,45,35,2.2,0,4,0,0.2,NA
4,I12,I,312,0.05,20,10,3.4,11.2,6,10,0.3,3.4
4,I12,I,312,0.06,20,10,3.1,6.6,2,9,0.3,1.3
4,I12,I,312,0.04,25,15,2.2,9,6,8,0.3,2.7
4,I12,I,313,0.05,20,10,1,3.3,5,9,0.3,1.2
4,I12,I,313,0.03,25,15,2.5,5.3,4,8,0.3,3.7
3,I12,I,313,0.02,40,30,4,9.9,6,14,0.3,2.9
3,I12,I,313,0.06,45,35,4.3,3.3,10,5,0.3,0.5
4,I12,I,314,0.04,25,15,4,11,7,8,0.3,4.1
4,I12,I,314,0.02,45,35,3.4,4,4,6,0.3,0.7
5,I12,I,313,0.01,10,0,1.6,1.7,4,8,0.3,0.4
4,I12,I,313,0.06,20,10,2.2,5.3,6,9,0.4,1.4
3,I12,I,313,0.03,30,20,3.4,14.2,8,13,0.4,3.7
3,I12,I,312,0.02,40,30,4.2,11.5,6,14,0.5,2.2
5,I12,I,313,0.02,10,0,3.6,4.4,4,12,0.5,0.5
4,I12,I,312,0.01,45,35,4.5,7.1,7,8,0.6,1.7
3,I12,I,313,0.04,30,20,2.2,8,5,5,0.6,0.5
3,I12,I,313,0.05,45,35,3.2,3.7,6,8,0.6,0.4
4,I12,I,314,0.05,20,10,4.5,10.1,6,10,0.6,2.2
3,I12,I,314,0.02,40,30,5.3,11.5,8,14,0.6,2.8
5,I12,I,312,0.01,10,0,7,8.2,8,10,0.6,0.7
4,I12,I,314,0.03,25,15,3.3,10.8,2,8,0.7,2.1
3,I12,I,314,0.03,30,20,5.4,16.1,8,13,0.7,3.4
3,I12,I,312,0.04,30,20,4.7,12.5,7,15,0.8,4.3
3,I12,I,312,0.01,40,30,4.5,7.5,8,12,0.8,3.2
3,I12,I,312,0.05,45,35,4.3,0,8,0,0.8,NA
3,I12,I,314,0.01,40,30,4.8,10.1,7,14,0.8,3.1
4,I12,I,312,0.03,25,15,4.7,16.2,6,13,0.9,6.6
3,I12,I,312,0.03,30,20,4.7,16.5,8,11,0.9,5.1
5,I12,I,314,0.01,10,0,5.5,6.8,7,10,0.9,1.3
3,I12,I,312,0.06,45,35,6.8,0,10,0,1,NA
5,I12,I,314,0.02,10,0,4.8,6.6,8,8,1,2.2
4,I12,I,312,0.02,45,35,4.2,0,4,1,1.1,0.5
3,I12,I,314,0.06,45,35,5.4,5.7,8,7,1.3,2.3
5,I12,I,312,0.02,10,0,5.5,NA,5,5,2.2,3.7
4,I16,I,326,0.03,25,15,1.6,2.3,0,3,0,1.7
4,I16,I,326,0.02,45,35,0.7,1.1,0,1,0,0.5
4,I16,I,326,0.04,25,15,3.5,6.1,8,12,0.3,3.2
3,I16,I,326,0.01,40,30,4.2,14.9,9,14,0.4,3.7
4,I16,I,326,0.01,45,35,1.9,2.1,2,4,0.4,0.3
3,I16,I,326,0.02,40,30,3,4.8,9,12,0.5,1.7
4,I16,I,326,0.05,20,10,5.2,9.7,6,10,0.8,5
3,I16,I,326,0.06,45,35,4.6,7.6,8,8,0.8,0.8
3,I16,I,326,0.04,30,20,5.6,17.7,10,11,1.2,8
3,I16,I,326,0.03,30,20,5.7,19.1,8,16,1.5,4.6
5,I16,I,326,0.01,10,0,1.3,1.3,6,10,1.5,1.5
5,I16,I,326,0.02,10,0,10.2,11.2,8,8,1.7,1.7
3,I16,I,326,0.05,45,35,2.3,0,9,0,1.9,NA
4,I2,I,267,0.04,25,15,1.5,3.7,0,6,0,2.1
4,I2,I,267,0.01,45,35,2.3,2.3,0,0,0,0
3,I2,I,266,0.02,40,30,4.1,5.7,5,8,0.2,0.4
4,I2,I,267,0.06,20,10,3.3,4.1,3,4,0.2,0.3
3,I2,I,267,0.02,40,30,3.4,8.4,4,6,0.2,1.5
3,I2,I,267,0.05,45,35,4.2,0,3,0,0.2,NA
4,I2,I,265,0.05,20,10,3.6,6.7,4,8,0.3,1.2
3,I2,I,265,0.03,30,20,4.9,16.2,7,7,0.3,5.1
4,I2,I,265,0.02,45,35,3.3,4.2,2,3,0.3,0.7
4,I2,I,265,0.01,45,35,3.4,4.3,2,3,0.3,0.4
4,I2,I,266,0.03,25,15,3.5,8.5,4,8,0.3,4.1
3,I2,I,266,0.06,45,35,8.4,9.1,8,8,0.3,0.5
4,I2,I,267,0.05,20,10,1.5,3.3,2,6,0.3,1.9
4,I2,I,267,0.03,25,15,3.7,5.9,2,8,0.3,1.1
3,I2,I,267,0.01,40,30,1.4,4.1,6,8,0.3,0.8
4,I2,I,267,0.02,45,35,2.3,1.7,2,1,0.3,0.2
5,I2,I,267,0.01,10,0,2.8,4.5,7,8,0.3,0.7
4,I2,I,265,0.03,25,15,1.2,2.7,3,8,0.4,3.4
3,I2,I,266,0.03,30,20,3.5,4.4,4,4,0.4,2.1
3,I2,I,266,0.05,45,35,4.7,0,4,0,0.4,NA
3,I2,I,265,0.04,30,20,4.2,13.8,4,9,0.5,3.8
3,I2,I,265,0.02,40,30,5.5,12.1,5,12,0.5,2.1
4,I2,I,266,0.02,45,35,7.6,0,4,0,0.5,0
3,I2,I,267,0.03,30,20,2.9,8.5,7,9,0.5,4.5
