,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-0.696,-1.616,-1.047,-0.564,-1.929,-0.389,1.583,-0.764,0.043,-0.509,0.827,0.132,0.996,-2.683*,-1.825,-1.13,-2.176,-1.11,-2.373*,-2.44*,0.363,-0.931,-1.628,-0.423,-1.064,-0.577,-0.166,-1.291,1.142,1.088
I10,0.696,0,-0.92,-0.352,0.132,-1.234,0.307,2.278*,-0.069,0.738,0.187,1.522,0.828,1.692,-1.987,-1.13,-0.434,-1.48,-0.415,-1.678,-1.745,1.059,-0.236,-0.932,0.273,-0.368,0.119,0.529,-0.595,1.838,1.784
I11,1.616,0.92,0,0.568,1.052,-0.314,1.227,3.198**,0.852,1.658,1.107,2.442,1.748,2.612**,-1.067,-0.21,0.486,-0.56,0.505,-0.758,-0.825,1.979,0.684,-0.012,1.193,0.552,1.039,1.449,0.325,2.758*,2.704**
I12,1.047,0.352,-0.568,0,0.484,-0.882,0.658,2.63**,0.283,1.09,0.539,1.874,1.18,2.043*,-1.635,-0.778,-0.082,-1.129,-0.063,-1.326,-1.393,1.41,0.116,-0.581,0.624,-0.016,0.471,0.881,-0.243,2.189*,2.136*
I16,0.564,-0.132,-1.052,-0.484,0,-1.366,0.175,2.147,-0.2,0.606,0.055,1.39,0.696,1.56,-2.119,-1.262,-0.566,-1.612,-0.547,-1.81,-1.877,0.927,-0.368,-1.064,0.141,-0.5,-0.013,0.397,-0.727,1.706,1.652
I2,1.929,1.234,0.314,0.882,1.366,0,1.541,3.512**,1.165,1.972,1.421,2.756*,2.062,2.926**,-0.753,0.104,0.8,-0.246,0.819,-0.444,-0.511,2.293,0.998,0.302,1.507,0.866,1.353,1.763,0.639,3.072*,3.018*
I3,0.389,-0.307,-1.227,-0.658,-0.175,-1.541,0,1.972*,-0.375,0.432,-0.12,1.216,0.521,1.385,-2.294,-1.436,-0.741,-1.787,-0.722,-1.984,-2.051,0.752,-0.542,-1.239,-0.034,-0.675,-0.188,0.223,-0.902,1.531,1.477
I4,-1.583,-2.278*,-3.198**,-2.63**,-2.147,-3.512**,-1.972*,0,-2.347*,-1.54,-2.091*,-0.756,-1.45,-0.587,-4.266**,-3.408**,-2.712**,-3.759**,-2.693**,-3.956**,-4.023**,-1.22,-2.514**,-3.211**,-2.006*,-2.646**,-2.159,-1.749,-2.873**,-0.441,-0.494
I5,0.764,0.069,-0.852,-0.283,0.2,-1.165,0.375,2.347*,0,0.807,0.256,1.591,0.897,1.76,-1.919,-1.061,-0.365,-1.412,-0.346,-1.609,-1.676,1.127,-0.167,-0.864,0.341,-0.299,0.188,0.598,-0.526,1.906,1.853
I6,-0.043,-0.738,-1.658,-1.09,-0.606,-1.972,-0.432,1.54,-0.807,0,-0.551,0.784,0.09,0.953,-2.725*,-1.868,-1.172,-2.219,-1.153,-2.416*,-2.483**,0.32,-0.974,-1.671,-0.465,-1.106,-0.619,-0.209,-1.333,1.099,1.046
I7,0.509,-0.187,-1.107,-0.539,-0.055,-1.421,0.12,2.091*,-0.256,0.551,0,1.335,0.641,1.505,-2.174,-1.317,-0.621,-1.667,-0.602,-1.865,-1.932,0.872,-0.423,-1.119,0.086,-0.555,-0.068,0.342,-0.782,1.651,1.597
I8,-0.827,-1.522,-2.442,-1.874,-1.39,-2.756*,-1.216,0.756,-1.591,-0.784,-1.335,0,-0.694,0.17,-3.509**,-2.652*,-1.956,-3.003*,-1.937,-3.2**,-3.267**,-0.463,-1.758,-2.455*,-1.249,-1.89,-1.403,-0.993,-2.117,0.315,0.262
I9,-0.132,-0.828,-1.748,-1.18,-0.696,-2.062,-0.521,1.45,-0.897,-0.09,-0.641,0.694,0,0.864,-2.815*,-1.958,-1.262,-2.308,-1.243,-2.506*,-2.573*,0.231,-1.064,-1.76,-0.555,-1.196,-0.709,-0.299,-1.423,1.01,0.956
N10,-0.996,-1.692,-2.612**,-2.043*,-1.56,-2.926**,-1.385,0.587,-1.76,-0.953,-1.505,-0.17,-0.864,0,-3.679**,-2.821**,-2.126,-3.172**,-2.107*,-3.369**,-3.436**,-0.633,-1.928,-2.624**,-1.419,-2.06*,-1.573,-1.162,-2.287*,0.146,0.092
N12,2.683*,1.987,1.067,1.635,2.119,0.753,2.294,4.266**,1.919,2.725*,2.174,3.509**,2.815*,3.679**,0,0.857,1.553,0.507,1.572,0.31,0.242,3.046**,1.751,1.055,2.26,1.619,2.106,2.516,1.392,3.825**,3.771**
N16,1.825,1.13,0.21,0.778,1.262,-0.104,1.436,3.408**,1.061,1.868,1.317,2.652*,1.958,2.821**,-0.857,0,0.696,-0.351,0.715,-0.548,-0.615,2.188,0.894,0.197,1.403,0.762,1.249,1.659,0.535,2.967*,2.914*
N18,1.13,0.434,-0.486,0.082,0.566,-0.8,0.741,2.712**,0.365,1.172,0.621,1.956,1.262,2.126,-1.553,-0.696,0,-1.046,0.019,-1.244,-1.311,1.493,0.198,-0.498,0.707,0.066,0.553,0.963,-0.161,2.272,2.218
N19,2.176,1.48,0.56,1.129,1.612,0.246,1.787,3.759**,1.412,2.219,1.667,3.003*,2.308,3.172**,-0.507,0.351,1.046,0,1.066,-0.197,-0.264,2.539*,1.245,0.548,1.753,1.112,1.599,2.01,0.885,3.318**,3.264**
N20,1.11,0.415,-0.505,0.063,0.547,-0.819,0.722,2.693**,0.346,1.153,0.602,1.937,1.243,2.107*,-1.572,-0.715,-0.019,-1.066,0,-1.263,-1.33,1.474,0.179,-0.517,0.688,0.047,0.534,0.944,-0.18,2.252,2.199*
N21,2.373*,1.678,0.758,1.326,1.81,0.444,1.984,3.956**,1.609,2.416*,1.865,3.2**,2.506*,3.369**,-0.31,0.548,1.244,0.197,1.263,0,-0.067,2.736*,1.442,0.745,1.95,1.31,1.797,2.207,1.083,3.515**,3.462**
N22,2.44*,1.745,0.825,1.393,1.877,0.511,2.051,4.023**,1.676,2.483**,1.932,3.267**,2.573*,3.436**,-0.242,0.615,1.311,0.264,1.33,0.067,0,2.803**,1.509,0.812,2.017,1.377,1.864,2.274,1.15,3.582**,3.529**
N23,-0.363,-1.059,-1.979,-1.41,-0.927,-2.293,-0.752,1.22,-1.127,-0.32,-0.872,0.463,-0.231,0.633,-3.046**,-2.188,-1.493,-2.539*,-1.474,-2.736*,-2.803**,0,-1.295,-1.991,-0.786,-1.427,-0.94,-0.53,-1.654,0.779,0.725
N24,0.931,0.236,-0.684,-0.116,0.368,-0.998,0.542,2.514**,0.167,0.974,0.423,1.758,1.064,1.928,-1.751,-0.894,-0.198,-1.245,-0.179,-1.442,-1.509,1.295,0,-0.697,0.509,-0.132,0.355,0.765,-0.359,2.073,2.02
N26,1.628,0.932,0.012,0.581,1.064,-0.302,1.239,3.211**,0.864,1.671,1.119,2.455*,1.76,2.624**,-1.055,-0.197,0.498,-0.548,0.517,-0.745,-0.812,1.991,0.697,0,1.205,0.564,1.051,1.462,0.337,2.77**,2.716**
N27,0.423,-0.273,-1.193,-0.624,-0.141,-1.507,0.034,2.006*,-0.341,0.465,-0.086,1.249,0.555,1.419,-2.26,-1.403,-0.707,-1.753,-0.688,-1.95,-2.017,0.786,-0.509,-1.205,0,-0.641,-0.154,0.256,-0.868,1.565,1.511
N29,1.064,0.368,-0.552,0.016,0.5,-0.866,0.675,2.646**,0.299,1.106,0.555,1.89,1.196,2.06*,-1.619,-0.762,-0.066,-1.112,-0.047,-1.31,-1.377,1.427,0.132,-0.564,0.641,0,0.487,0.897,-0.227,2.206,2.152
N30,0.577,-0.119,-1.039,-0.471,0.013,-1.353,0.188,2.159,-0.188,0.619,0.068,1.403,0.709,1.573,-2.106,-1.249,-0.553,-1.599,-0.534,-1.797,-1.864,0.94,-0.355,-1.051,0.154,-0.487,0,0.41,-0.714,1.719,1.665
N31,0.166,-0.529,-1.449,-0.881,-0.397,-1.763,-0.223,1.749,-0.598,0.209,-0.342,0.993,0.299,1.162,-2.516,-1.659,-0.963,-2.01,-0.944,-2.207,-2.274,0.53,-0.765,-1.462,-0.256,-0.897,-0.41,0,-1.124,1.308,1.255
N32,1.291,0.595,-0.325,0.243,0.727,-0.639,0.902,2.873**,0.526,1.333,0.782,2.117,1.423,2.287*,-1.392,-0.535,0.161,-0.885,0.18,-1.083,-1.15,1.654,0.359,-0.337,0.868,0.227,0.714,1.124,0,2.433,2.379*
N8,-1.142,-1.838,-2.758*,-2.189*,-1.706,-3.072*,-1.531,0.441,-1.906,-1.099,-1.651,-0.315,-1.01,-0.146,-3.825**,-2.967*,-2.272,-3.318**,-2.252,-3.515**,-3.582**,-0.779,-2.073,-2.77**,-1.565,-2.206,-1.719,-1.308,-2.433,0,-0.054
N9,-1.088,-1.784,-2.704**,-2.136*,-1.652,-3.018*,-1.477,0.494,-1.853,-1.046,-1.597,-0.262,-0.956,-0.092,-3.771**,-2.914*,-2.218,-3.264**,-2.199*,-3.462**,-3.529**,-0.725,-2.02,-2.716**,-1.511,-2.152,-1.665,-1.255,-2.379*,0.054,0
