,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-0.529,0.644,-0.732,0.82,-2.284,1.285,3.065,-0.316,-0.195,1.023,-0.733,-0.506,0.599,-3.51,-0.5,-0.449,-0.043,-1.66,-1.507,-0.268,1.278,-0.346,-0.029,0.495,0.489,-0.877,-1.718,-1.659,3.141,-1.028
I10,0.529,0,1.174,-0.202,1.349,-1.754,1.814,3.595,0.214,0.334,1.552,-0.204,0.024,1.128,-2.981,0.03,0.08,0.486,-1.131,-0.977,0.261,1.807,0.184,0.501,1.024,1.018,-0.347,-1.189,-1.13,3.67,-0.499
I11,-0.644,-1.174,0,-1.376,0.175,-2.928,0.641,2.421,-0.96,-0.84,0.379,-1.377,-1.15,-0.045,-4.154,-1.144,-1.093,-0.687,-2.305,-2.151,-0.912,0.633,-0.99,-0.673,-0.149,-0.156,-1.521,-2.362,-2.304,2.496,-1.673
I12,0.732,0.202,1.376,0,1.551,-1.552,2.016,3.797**,0.416,0.536,1.754,-0.001,0.226,1.331,-2.778,0.232,0.283,0.689,-0.929,-0.775,0.464,2.009,0.386,0.703,1.227,1.22,-0.145,-0.986,-0.928,3.872,-0.297
I16,-0.82,-1.349,-0.175,-1.551,0,-3.103,0.465,2.246,-1.135,-1.015,0.203,-1.553,-1.325,-0.221,-4.33,-1.319,-1.269,-0.863,-2.48,-2.326,-1.088,0.458,-1.165,-0.848,-0.325,-0.331,-1.696,-2.538,-2.479,2.321,-1.848
I2,2.284,1.754,2.928,1.552,3.103,0,3.569,5.349*,1.968,2.089,3.307,1.551,1.778,2.883,-1.226,1.784,1.835,2.241,0.623,0.777,2.016,3.562,1.938,2.255,2.779,2.773,1.407,0.566,0.625,5.425,1.255
I3,-1.285,-1.814,-0.641,-2.016,-0.465,-3.569,0,1.78,-1.6,-1.48,-0.262,-2.018,-1.791,-0.686,-4.795*,-1.784,-1.734,-1.328,-2.945,-2.792,-1.553,-0.007,-1.631,-1.314,-0.79,-0.796,-2.161,-3.003,-2.944,1.856,-2.313
I4,-3.065,-3.595,-2.421,-3.797**,-2.246,-5.349*,-1.78,0,-3.381,-3.261,-2.043,-3.798,-3.571,-2.466,-6.575**,-3.565,-3.514,-3.108,-4.726**,-4.572**,-3.333,-1.788,-3.411,-3.094,-2.57,-2.577,-3.942,-4.783**,-4.725*,0.075,-4.094
I5,0.316,-0.214,0.96,-0.416,1.135,-1.968,1.6,3.381,0,0.12,1.338,-0.418,-0.19,0.915,-3.195,-0.184,-0.133,0.273,-1.345,-1.191,0.048,1.593,-0.03,0.287,0.811,0.804,-0.561,-1.402,-1.344,3.456,-0.713
I6,0.195,-0.334,0.84,-0.536,1.015,-2.089,1.48,3.261,-0.12,0,1.218,-0.538,-0.311,0.794,-3.315,-0.304,-0.254,0.152,-1.465,-1.312,-0.073,1.473,-0.15,0.166,0.69,0.684,-0.681,-1.523,-1.464,3.336,-0.833
I7,-1.023,-1.552,-0.379,-1.754,-0.203,-3.307,0.262,2.043,-1.338,-1.218,0,-1.756,-1.529,-0.424,-4.533*,-1.522,-1.472,-1.066,-2.683,-2.53,-1.291,0.255,-1.369,-1.052,-0.528,-0.534,-1.899,-2.741,-2.682,2.118,-2.051
I8,0.733,0.204,1.377,0.001,1.553,-1.551,2.018,3.798,0.418,0.538,1.756,0,0.227,1.332,-2.777,0.234,0.284,0.69,-0.927,-0.774,0.465,2.011,0.387,0.704,1.228,1.222,-0.144,-0.985,-0.926,3.874,-0.295
I9,0.506,-0.024,1.15,-0.226,1.325,-1.778,1.791,3.571,0.19,0.311,1.529,-0.227,0,1.105,-3.004,0.006,0.057,0.463,-1.155,-1.001,0.238,1.784,0.16,0.477,1.001,0.995,-0.371,-1.212,-1.153,3.647,-0.523
N10,-0.599,-1.128,0.045,-1.331,0.221,-2.883,0.686,2.466,-0.915,-0.794,0.424,-1.332,-1.105,0,-4.109*,-1.099,-1.048,-0.642,-2.259,-2.106,-0.867,0.679,-0.945,-0.628,-0.104,-0.11,-1.476,-2.317,-2.258,2.542,-1.627
N12,3.51,2.981,4.154,2.778,4.33,1.226,4.795*,6.575**,3.195,3.315,4.533*,2.777,3.004,4.109*,0,3.01,3.061,3.467,1.85,2.003,3.242,4.788*,3.164,3.481,4.005*,3.999,2.633,1.792,1.851,6.651**,2.482
N16,0.5,-0.03,1.144,-0.232,1.319,-1.784,1.784,3.565,0.184,0.304,1.522,-0.234,-0.006,1.099,-3.01,0,0.051,0.457,-1.161,-1.007,0.232,1.777,0.154,0.471,0.995,0.988,-0.377,-1.218,-1.16,3.64,-0.529
N18,0.449,-0.08,1.093,-0.283,1.269,-1.835,1.734,3.514,0.133,0.254,1.472,-0.284,-0.057,1.048,-3.061,-0.051,0,0.406,-1.211,-1.058,0.181,1.727,0.103,0.42,0.944,0.938,-0.428,-1.269,-1.21,3.59,-0.579
N19,0.043,-0.486,0.687,-0.689,0.863,-2.241,1.328,3.108,-0.273,-0.152,1.066,-0.69,-0.463,0.642,-3.467,-0.457,-0.406,0,-1.617,-1.464,-0.225,1.321,-0.303,0.014,0.538,0.532,-0.834,-1.675,-1.616,3.184,-0.985
N20,1.66,1.131,2.305,0.929,2.48,-0.623,2.945,4.726**,1.345,1.465,2.683,0.927,1.155,2.259,-1.85,1.161,1.211,1.617,0,0.154,1.392,2.938,1.315,1.632,2.155,2.149,0.784,-0.058,0.001,4.801*,0.632
