,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-0.166,-2.26,-0.316,-1.383,0.354,-1.674,-1.482,-0.449,0.238,-1.531,1.56,0.638,0.397,0.827,-1.326,-0.681,-2.133,0.55,-0.866,-2.172,-0.915,-0.586,-1.599,-0.918,-1.552,0.3,1.552,0.369,-1.999,2.117
I10,0.166,0,-2.094,-0.149,-1.217,0.521,-1.508,-1.316,-0.282,0.404,-1.365,1.726,0.804,0.563,0.994,-1.16,-0.515,-1.967,0.716,-0.7,-2.006,-0.748,-0.42,-1.433,-0.752,-1.386,0.466,1.718,0.535,-1.833,2.283
I11,2.26,2.094,0,1.944,0.877,2.614,0.586,0.777,1.811,2.498,0.729,3.82,2.898,2.657,3.087,0.934,1.579,0.127,2.81,1.394,0.088,1.345,1.674,0.661,1.342,0.708,2.56,3.811,2.629,0.261,4.377
I12,0.316,0.149,-1.944,0,-1.068,0.67,-1.358,-1.167,-0.133,0.554,-1.216,1.875,0.954,0.713,1.143,-1.01,-0.365,-1.817,0.866,-0.551,-1.857,-0.599,-0.27,-1.284,-0.602,-1.237,0.616,1.867,0.684,-1.683,2.432
I16,1.383,1.217,-0.877,1.068,0,1.738,-0.29,-0.099,0.935,1.621,-0.148,2.943,2.022,1.78,2.211,0.058,0.703,-0.75,1.933,0.517,-0.789,0.469,0.798,-0.216,0.465,-0.169,1.683,2.935,1.752,-0.615,3.5
I2,-0.354,-0.521,-2.614,-0.67,-1.738,0,-2.028,-1.837,-0.803,-0.116,-1.886,1.205,0.284,0.043,0.473,-1.68,-1.035,-2.487,0.196,-1.221,-2.527,-1.269,-0.94,-1.953,-1.272,-1.907,-0.054,1.197,0.014,-2.353,1.762
I3,1.674,1.508,-0.586,1.358,0.29,2.028,0,0.191,1.225,1.912,0.142,3.233,2.312,2.071,2.501,0.348,0.993,-0.459,2.224,0.807,-0.498,0.759,1.088,0.075,0.756,0.121,1.974,3.225,2.042,-0.325,3.791
I4,1.482,1.316,-0.777,1.167,0.099,1.837,-0.191,0,1.034,1.72,-0.049,3.042,2.121,1.879,2.31,0.157,0.802,-0.65,2.032,0.616,-0.69,0.568,0.897,-0.117,0.565,-0.07,1.783,3.034,1.851,-0.516,3.599
I5,0.449,0.282,-1.811,0.133,-0.935,0.803,-1.225,-1.034,0,0.687,-1.083,2.008,1.087,0.846,1.276,-0.877,-0.232,-1.684,0.998,-0.418,-1.724,-0.466,-0.137,-1.151,-0.469,-1.104,0.749,2,0.817,-1.55,2.565
I6,-0.238,-0.404,-2.498,-0.554,-1.621,0.116,-1.912,-1.72,-0.687,0,-1.769,1.322,0.4,0.159,0.589,-1.564,-0.919,-2.371,0.312,-1.104,-2.41,-1.153,-0.824,-1.837,-1.156,-1.79,0.062,1.314,0.131,-2.237,1.879
I7,1.531,1.365,-0.729,1.216,0.148,1.886,-0.142,0.049,1.083,1.769,0,3.091,2.17,1.928,2.359,0.206,0.851,-0.602,2.081,0.665,-0.641,0.617,0.946,-0.068,0.613,-0.021,1.831,3.083,1.9,-0.467,3.648
I8,-1.56,-1.726,-3.82,-1.875,-2.943,-1.205,-3.233,-3.042,-2.008,-1.322,-3.091,0,-0.921,-1.163,-0.732,-2.885,-2.24,-3.693,-1.01,-2.426,-3.732,-2.474,-2.145,-3.159,-2.478,-3.112,-1.26,-0.008,-1.191,-3.558,0.557
I9,-0.638,-0.804,-2.898,-0.954,-2.022,-0.284,-2.312,-2.121,-1.087,-0.4,-2.17,0.921,0,-0.241,0.189,-1.964,-1.319,-2.771,-0.088,-1.505,-2.811,-1.553,-1.224,-2.237,-1.556,-2.191,-0.338,0.913,-0.27,-2.637,1.478
N10,-0.397,-0.563,-2.657,-0.713,-1.78,-0.043,-2.071,-1.879,-0.846,-0.159,-1.928,1.163,0.241,0,0.43,-1.723,-1.078,-2.53,0.153,-1.263,-2.569,-1.312,-0.983,-1.996,-1.315,-1.949,-0.097,1.155,-0.028,-2.396,1.72
N12,-0.827,-0.994,-3.087,-1.143,-2.211,-0.473,-2.501,-2.31,-1.276,-0.589,-2.359,0.732,-0.189,-0.43,0,-2.153,-1.508,-2.96,-0.277,-1.694,-3,-1.742,-1.413,-2.426,-1.745,-2.38,-0.527,0.724,-0.459,-2.826,1.289
N16,1.326,1.16,-0.934,1.01,-0.058,1.68,-0.348,-0.157,0.877,1.564,-0.206,2.885,1.964,1.723,2.153,0,0.645,-0.807,1.876,0.459,-0.847,0.411,0.74,-0.273,0.408,-0.227,1.626,2.877,1.694,-0.673,3.443
N18,0.681,0.515,-1.579,0.365,-0.703,1.035,-0.993,-0.802,0.232,0.919,-0.851,2.24,1.319,1.078,1.508,-0.645,0,-1.452,1.231,-0.186,-1.492,-0.234,0.095,-0.918,-0.237,-0.872,0.981,2.232,1.049,-1.318,2.797
N19,2.133,1.967,-0.127,1.817,0.75,2.487,0.459,0.65,1.684,2.371,0.602,3.693,2.771,2.53,2.96,0.807,1.452,0,2.683,1.267,-0.039,1.218,1.547,0.534,1.215,0.581,2.433,3.684,2.502,0.134,4.25
N20,-0.55,-0.716,-2.81,-0.866,-1.933,-0.196,-2.224,-2.032,-0.998,-0.312,-2.081,1.01,0.088,-0.153,0.277,-1.876,-1.231,-2.683,0,-1.416,-2.722,-1.465,-1.136,-2.149,-1.468,-2.102,-0.25,1.002,-0.181,-2.549,1.567
N21,0.866,0.7,-1.394,0.551,-0.517,1.221,-0.807,-0.616,0.418,1.104,-0.665,2.426,1.505,1.263,1.694,-0.459,0.186,-1.267,1.416,0,-1.306,-0.048,0.281,-0.733,-0.051,-0.686,1.166,2.418,1.235,-1.132,2.983
