,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-4.14,10.675,6.714,9.159,-3.664,4.702,16.761*,13.289,10.523,-2.157,-12.838*,2.499,20.608**,0.055,-4.428,10.647,15.093,-5.035,2.027,-6.053,-10.002,-11.658*,3.482,5.184,8.929,-7.277,5.716,2.942,-4.957,-8.713
I10,4.14,0,14.815,10.854,13.299,0.476,8.842,20.901**,17.429*,14.663,1.984,-8.698,6.639,24.748**,4.195,-0.288,14.787,19.233*,-0.895,6.167,-1.913,-5.861,-7.518,7.622,9.324,13.069,-3.137,9.856,7.082,-0.817,-4.573
I11,-10.675,-14.815,0,-3.961,-1.516,-14.338,-5.972,6.086,2.614,-0.152,-12.831,-23.513**,-8.176,9.933,-10.62,-15.103,-0.028,4.418,-15.709*,-8.648,-16.728*,-20.676**,-22.333**,-7.193,-5.491,-1.746,-17.952*,-4.959,-7.733,-15.632,-19.388**
I12,-6.714,-10.854,3.961,0,2.445,-10.377,-2.011,10.048,6.575,3.809,-8.87,-19.552**,-4.215,13.894,-6.659,-11.142,3.933,8.379,-11.748*,-4.686,-12.767*,-16.715**,-18.372**,-3.232,-1.529,2.216,-13.991*,-0.998,-3.772,-11.671,-15.426**
I16,-9.159,-13.299,1.516,-2.445,0,-12.822,-4.456,7.603,4.13,1.364,-11.315,-21.997*,-6.66,11.449,-9.104,-13.587,1.488,5.934,-14.193,-7.132,-15.212,-19.16,-20.817*,-5.677,-3.975,-0.23,-16.436,-3.443,-6.217,-14.116,-17.872
I2,3.664,-0.476,14.338,10.377,12.822,0,8.366,20.425*,16.952*,14.187,1.507,-9.175,6.163,24.271**,3.719,-0.764,14.311,18.757*,-1.371,5.691,-2.389,-6.338,-7.995,7.145,8.848,12.593,-3.613,9.38,6.606,-1.293,-5.049
I3,-4.702,-8.842,5.972,2.011,4.456,-8.366,0,12.059,8.586,5.821,-6.859,-17.541**,-2.203,15.905,-4.647,-9.13,5.945,10.391,-9.737,-2.675,-10.755,-14.704*,-16.361**,-1.221,0.482,4.227,-11.979,1.014,-1.76,-9.659,-13.415*
I4,-16.761*,-20.901**,-6.086,-10.048,-7.603,-20.425*,-12.059,0,-3.473,-6.238,-18.918*,-29.6**,-14.262,3.847,-16.706,-21.189*,-6.114,-1.668,-21.796**,-14.734,-22.814**,-26.763**,-28.42**,-13.28,-11.577,-7.832,-24.038**,-11.045,-13.819,-21.718*,-25.474**
I5,-13.289,-17.429*,-2.614,-6.575,-4.13,-16.952*,-8.586,3.473,0,-2.766,-15.445,-26.127**,-10.79,7.319,-13.234,-17.717*,-2.642,1.804,-18.323**,-11.261,-19.342**,-23.29**,-24.947**,-9.807,-8.104,-4.359,-20.566**,-7.573,-10.347,-18.246,-22.001**
I6,-10.523,-14.663,0.152,-3.809,-1.364,-14.187,-5.821,6.238,2.766,0,-12.68,-23.361**,-8.024,10.085,-10.468,-14.951,0.124,4.57,-15.558*,-8.496,-16.576*,-20.525**,-22.181**,-7.041,-5.339,-1.594,-17.8*,-4.807,-7.581,-15.48,-19.236**
I7,2.157,-1.984,12.831,8.87,11.315,-1.507,6.859,18.918*,15.445,12.68,0,-10.682,4.656,22.764**,2.212,-2.271,12.804,17.25,-2.878,4.184,-3.896,-7.845,-9.502,5.638,7.341,11.086,-5.12,7.873,5.099,-2.8,-6.556
I8,12.838*,8.698,23.513**,19.552**,21.997*,9.175,17.541**,29.6**,26.127**,23.361**,10.682,0,15.337*,33.446**,12.893,8.41,23.485**,27.931**,7.804,14.866*,6.785,2.837,1.18,16.32**,18.023**,21.768**,5.561,18.554**,15.78*,7.881,4.126
I9,-2.499,-6.639,8.176,4.215,6.66,-6.163,2.203,14.262,10.79,8.024,-4.656,-15.337*,0,18.109,-2.444,-6.927,8.148,12.594,-7.534,-0.472,-8.552,-12.501,-14.157*,0.983,2.685,6.43,-9.776,3.217,0.443,-7.456,-11.212
N10,-20.608**,-24.748**,-9.933,-13.894,-11.449,-24.271**,-15.905,-3.847,-7.319,-10.085,-22.764**,-33.446**,-18.109,0,-20.553*,-25.036**,-9.961,-5.515,-25.642**,-18.581,-26.661**,-30.609**,-32.266**,-17.126*,-15.424,-11.679,-27.885**,-14.892,-17.666*,-25.565**,-29.321**
N12,-0.055,-4.195,10.62,6.659,9.104,-3.719,4.647,16.706,13.234,10.468,-2.212,-12.893,2.444,20.553*,0,-4.483,10.592,15.038,-5.09,1.972,-6.108,-10.057,-11.713,3.427,5.129,8.874,-7.332,5.661,2.887,-5.012,-8.768
