,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,0.144,-0.232,-0.354,-0.31,-0.011,-0.111,0.148,0.309,0.284,-0.32,0.751,-0.05,0.474,-0.281,-0.162,-0.288,-0.245,0.09,-0.737,-0.399,-0.251,-0.172,-0.104,-0.752,-0.444,0.4,0.433,0.495,0.117,0.836
I10,-0.144,0,-0.376,-0.498,-0.454,-0.154,-0.255,0.004,0.166,0.14,-0.464,0.608,-0.194,0.33,-0.425,-0.306,-0.432,-0.389,-0.054,-0.881,-0.543,-0.395,-0.315,-0.248,-0.895,-0.588,0.257,0.289,0.351,-0.027,0.692
I11,0.232,0.376,0,-0.122,-0.078,0.222,0.121,0.38,0.542,0.516,-0.088,0.984,0.182,0.706,-0.049,0.071,-0.056,-0.013,0.322,-0.505,-0.167,-0.019,0.061,0.128,-0.519,-0.212,0.633,0.666,0.727,0.35,1.069
I12,0.354,0.498,0.122,0,0.044,0.344,0.243,0.502,0.663,0.638,0.034,1.105,0.304,0.828,0.073,0.192,0.066,0.109,0.444,-0.383,-0.045,0.103,0.182,0.25,-0.398,-0.09,0.754,0.787,0.849,0.471,1.19
I16,0.31,0.454,0.078,-0.044,0,0.3,0.199,0.458,0.62,0.594,-0.01,1.062,0.26,0.784,0.029,0.149,0.022,0.065,0.4,-0.427,-0.089,0.059,0.139,0.206,-0.441,-0.134,0.711,0.744,0.805,0.428,1.147
I2,0.011,0.154,-0.222,-0.344,-0.3,0,-0.101,0.158,0.32,0.294,-0.31,0.762,-0.04,0.484,-0.271,-0.151,-0.278,-0.235,0.1,-0.727,-0.389,-0.24,-0.161,-0.093,-0.741,-0.434,0.411,0.444,0.505,0.128,0.847
I3,0.111,0.255,-0.121,-0.243,-0.199,0.101,0,0.259,0.421,0.395,-0.209,0.862,0.061,0.585,-0.17,-0.051,-0.177,-0.134,0.201,-0.626,-0.288,-0.14,-0.061,0.007,-0.64,-0.333,0.511,0.544,0.606,0.228,0.947
I4,-0.148,-0.004,-0.38,-0.502,-0.458,-0.158,-0.259,0,0.162,0.136,-0.468,0.603,-0.198,0.326,-0.429,-0.31,-0.436,-0.393,-0.058,-0.885,-0.547,-0.399,-0.32,-0.252,-0.9,-0.592,0.252,0.285,0.347,-0.031,0.688
I5,-0.309,-0.166,-0.542,-0.663,-0.62,-0.32,-0.421,-0.162,0,-0.025,-0.63,0.442,-0.36,0.164,-0.59,-0.471,-0.598,-0.555,-0.22,-1.047,-0.709,-0.56,-0.481,-0.413,-1.061,-0.754,0.091,0.124,0.185,-0.192,0.527
I6,-0.284,-0.14,-0.516,-0.638,-0.594,-0.294,-0.395,-0.136,0.025,0,-0.604,0.467,-0.334,0.19,-0.565,-0.446,-0.572,-0.529,-0.194,-1.021,-0.683,-0.535,-0.456,-0.388,-1.036,-0.728,0.116,0.149,0.211,-0.167,0.552
I7,0.32,0.464,0.088,-0.034,0.01,0.31,0.209,0.468,0.63,0.604,0,1.072,0.27,0.794,0.039,0.159,0.032,0.075,0.41,-0.417,-0.079,0.069,0.149,0.216,-0.431,-0.124,0.721,0.753,0.815,0.437,1.157
I8,-0.751,-0.608,-0.984,-1.105,-1.062,-0.762,-0.862,-0.603,-0.442,-0.467,-1.072,0,-0.802,-0.277,-1.032,-0.913,-1.04,-0.997,-0.662,-1.489,-1.151,-1.002,-0.923,-0.855,-1.503,-1.196,-0.351,-0.318,-0.256,-0.634,0.085
I9,0.05,0.194,-0.182,-0.304,-0.26,0.04,-0.061,0.198,0.36,0.334,-0.27,0.802,0,0.524,-0.231,-0.112,-0.238,-0.195,0.14,-0.687,-0.349,-0.201,-0.121,-0.054,-0.701,-0.394,0.451,0.483,0.545,0.167,0.886
N10,-0.474,-0.33,-0.706,-0.828,-0.784,-0.484,-0.585,-0.326,-0.164,-0.19,-0.794,0.277,-0.524,0,-0.755,-0.636,-0.762,-0.719,-0.384,-1.211,-0.873,-0.725,-0.646,-0.578,-1.226,-0.918,-0.074,-0.041,0.021,-0.357,0.362
N12,0.281,0.425,0.049,-0.073,-0.029,0.271,0.17,0.429,0.59,0.565,-0.039,1.032,0.231,0.755,0,0.119,-0.007,0.036,0.371,-0.456,-0.118,0.03,0.109,0.177,-0.471,-0.163,0.681,0.714,0.776,0.398,1.117
N16,0.162,0.306,-0.071,-0.192,-0.149,0.151,0.051,0.31,0.471,0.446,-0.159,0.913,0.112,0.636,-0.119,0,-0.126,-0.083,0.252,-0.576,-0.238,-0.089,-0.01,0.058,-0.59,-0.282,0.562,0.595,0.657,0.279,0.998
N18,0.288,0.432,0.056,-0.066,-0.022,0.278,0.177,0.436,0.598,0.572,-0.032,1.04,0.238,0.762,0.007,0.126,0,0.043,0.378,-0.449,-0.111,0.037,0.117,0.184,-0.463,-0.156,0.689,0.721,0.783,0.405,1.124
