,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-0.083,0.35,0.16,0.277,-0.09,0.175,0.446*,0.31,0.219,0.01,-0.315*,0.032,0.428*,-0.023,-0.05,0.267,0.447,-0.127,0.085,-0.056,-0.188,-0.237,0.143,0.157,0.269,-0.167,0.066,0.048,-0.032,-0.245
I10,0.083,0,0.433,0.243,0.36,-0.007,0.257,0.528*,0.393,0.301,0.093,-0.232,0.115,0.511*,0.06,0.033,0.35,0.53*,-0.044,0.167,0.027,-0.106,-0.154,0.225,0.24,0.351,-0.084,0.149,0.131,0.051,-0.162
I11,-0.35,-0.433,0,-0.19,-0.073,-0.44,-0.175,0.096,-0.04,-0.131,-0.34,-0.665**,-0.318,0.078,-0.373,-0.4,-0.083,0.097,-0.477*,-0.265,-0.406,-0.538*,-0.587**,-0.207,-0.193,-0.081,-0.517*,-0.284,-0.302,-0.382,-0.595**
I12,-0.16,-0.243,0.19,0,0.117,-0.25,0.015,0.286,0.15,0.058,-0.15,-0.475**,-0.128,0.268,-0.183,-0.21,0.107,0.287,-0.287,-0.075,-0.216,-0.348*,-0.397**,-0.017,-0.003,0.109,-0.327*,-0.094,-0.112,-0.192,-0.405**
I16,-0.277,-0.36,0.073,-0.117,0,-0.367,-0.103,0.169,0.033,-0.059,-0.267,-0.592*,-0.245,0.151,-0.3,-0.327,-0.01,0.17,-0.404,-0.193,-0.333,-0.466,-0.514,-0.135,-0.12,-0.009,-0.444,-0.211,-0.229,-0.309,-0.522*
I2,0.09,0.007,0.44,0.25,0.367,0,0.264,0.536**,0.4,0.308,0.1,-0.225,0.122,0.518*,0.067,0.04,0.357,0.537*,-0.037,0.175,0.034,-0.099,-0.147,0.232,0.247,0.358,-0.077,0.156,0.138,0.058,-0.155
I3,-0.175,-0.257,0.175,-0.015,0.103,-0.264,0,0.271,0.136,0.044,-0.164,-0.489**,-0.142,0.253,-0.197,-0.224,0.093,0.273,-0.301,-0.09,-0.231,-0.363*,-0.411**,-0.032,-0.018,0.094,-0.341*,-0.108,-0.126,-0.206,-0.42**
I4,-0.446*,-0.528*,-0.096,-0.286,-0.169,-0.536**,-0.271,0,-0.135,-0.227,-0.436,-0.761**,-0.414,-0.018,-0.469,-0.496*,-0.179,0.001,-0.572**,-0.361,-0.502*,-0.634**,-0.683**,-0.303,-0.289,-0.177,-0.613**,-0.379,-0.397,-0.477,-0.691**
I5,-0.31,-0.393,0.04,-0.15,-0.033,-0.4,-0.136,0.135,0,-0.092,-0.3,-0.625**,-0.278,0.118,-0.333,-0.36,-0.043,0.137,-0.437*,-0.226,-0.367,-0.499*,-0.547**,-0.168,-0.153,-0.042,-0.477**,-0.244,-0.262,-0.342,-0.555**
I6,-0.219,-0.301,0.131,-0.058,0.059,-0.308,-0.044,0.227,0.092,0,-0.208,-0.533**,-0.186,0.21,-0.241,-0.268,0.049,0.229,-0.345*,-0.134,-0.275,-0.407*,-0.455**,-0.076,-0.061,0.05,-0.385*,-0.152,-0.17,-0.25,-0.464**
