,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-0.959,-0.916,-1.153,-0.073,-2.645,0.372,2.601*,-0.872,-0.292,0.097,0.094,-0.131,0.763,-3.879**,-1.611,-1.083,-1.635,-1.766,-2.512,-1.886,0.939,-0.855,-1.267,-0.015,-0.48,-1.007,-1.222,-1.959,2.304,0.034
I10,0.959,0,0.043,-0.194,0.886,-1.686,1.331,3.56**,0.087,0.667,1.056,1.053,0.828,1.722,-2.92,-0.652,-0.124,-0.676,-0.807,-1.553,-0.927,1.898,0.104,-0.308,0.944,0.479,-0.048,-0.263,-1,3.263*,0.993
I11,0.916,-0.043,0,-0.237,0.843,-1.729,1.288,3.517**,0.044,0.624,1.013,1.01,0.785,1.679,-2.963,-0.695,-0.167,-0.719,-0.85,-1.596,-0.97,1.855,0.061,-0.351,0.901,0.436,-0.091,-0.306,-1.043,3.22*,0.95
I12,1.153,0.194,0.237,0,1.08,-1.492,1.525,3.753**,0.28,0.861,1.25,1.247,1.022,1.916,-2.727*,-0.458,0.07,-0.482,-0.614,-1.359,-0.733,2.092,0.298,-0.115,1.138,0.673,0.146,-0.069,-0.807,3.457**,1.187
I16,0.073,-0.886,-0.843,-1.08,0,-2.572,0.445,2.674,-0.799,-0.219,0.17,0.167,-0.058,0.836,-3.806*,-1.538,-1.01,-1.562,-1.693,-2.439,-1.813,1.012,-0.782,-1.194,0.058,-0.407,-0.934,-1.149,-1.886,2.377,0.107
I2,2.645,1.686,1.729,1.492,2.572,0,3.017,5.246**,1.773,2.353,2.742,2.739,2.514,3.408*,-1.234,1.034,1.562,1.01,0.879,0.133,0.759,3.584*,1.79,1.378,2.63,2.165,1.638,1.423,0.685,4.949**,2.679
I3,-0.372,-1.331,-1.288,-1.525,-0.445,-3.017,0,2.229,-1.244,-0.664,-0.275,-0.278,-0.503,0.391,-4.251**,-1.983,-1.455,-2.007,-2.138,-2.884*,-2.258,0.567,-1.227,-1.639,-0.387,-0.852,-1.379,-1.594,-2.332,1.932,-0.338
I4,-2.601*,-3.56**,-3.517**,-3.753**,-2.674,-5.246**,-2.229,0,-3.473**,-2.892*,-2.504*,-2.506,-2.731,-1.838,-6.48**,-4.211**,-3.683**,-4.235**,-4.367**,-5.112**,-4.486**,-1.661,-3.456**,-3.868**,-2.616*,-3.08**,-3.608*,-3.822**,-4.56**,-0.297,-2.566
I5,0.872,-0.087,-0.044,-0.28,0.799,-1.773,1.244,3.473**,0,0.581,0.969,0.966,0.741,1.635,-3.007,-0.738,-0.21,-0.762,-0.894,-1.64,-1.013,1.812,0.017,-0.395,0.857,0.392,-0.135,-0.349,-1.087,3.176,0.907
I6,0.292,-0.667,-0.624,-0.861,0.219,-2.353,0.664,2.892*,-0.581,0,0.389,0.386,0.161,1.055,-3.588**,-1.319,-0.791,-1.343,-1.475,-2.22,-1.594,1.231,-0.563,-0.976,0.277,-0.188,-0.715,-0.93,-1.668,2.596,0.326
