,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,-0.103,0.265,0.172,0.231,-0.088,0.117,0.401*,0.312,0.246,-0.045,-0.323**,0.062,0.482**,0.008,-0.104,0.267,0.374,-0.124,0.069,-0.138,-0.237,-0.279*,0.087,0.146,0.23,-0.184,0.127,0.058,-0.122,-0.227
I10,0.103,0,0.369,0.276,0.335,0.015,0.22,0.504**,0.415*,0.35,0.059,-0.22,0.165,0.586**,0.112,0,0.37,0.477*,-0.02,0.172,-0.035,-0.134,-0.176,0.19,0.25,0.333,-0.081,0.23,0.162,-0.019,-0.123
I11,-0.265,-0.369,0,-0.093,-0.034,-0.354,-0.149,0.135,0.046,-0.019,-0.31,-0.588**,-0.203,0.217,-0.257,-0.369,0.002,0.108,-0.389*,-0.197,-0.403*,-0.503**,-0.544**,-0.178,-0.119,-0.036,-0.449*,-0.139,-0.207,-0.388,-0.492**
I12,-0.172,-0.276,0.093,0,0.059,-0.261,-0.056,0.228,0.139,0.074,-0.217,-0.495**,-0.111,0.31,-0.164,-0.276,0.094,0.201,-0.296*,-0.104,-0.31*,-0.41**,-0.452**,-0.085,-0.026,0.057,-0.357*,-0.046,-0.114,-0.295,-0.399**
I16,-0.231,-0.335,0.034,-0.059,0,-0.32,-0.114,0.17,0.081,0.015,-0.276,-0.554*,-0.169,0.251,-0.223,-0.335,0.036,0.142,-0.355,-0.163,-0.369,-0.469,-0.51*,-0.144,-0.085,-0.001,-0.415,-0.104,-0.173,-0.353,-0.458
I2,0.088,-0.015,0.354,0.261,0.32,0,0.205,0.489*,0.4,0.335,0.044,-0.235,0.15,0.571**,0.097,-0.015,0.355,0.462*,-0.035,0.157,-0.05,-0.149,-0.191,0.175,0.235,0.318,-0.096,0.215,0.147,-0.034,-0.138
I3,-0.117,-0.22,0.149,0.056,0.114,-0.205,0,0.284,0.195,0.13,-0.162,-0.44**,-0.055,0.365,-0.108,-0.22,0.15,0.257,-0.241,-0.048,-0.255,-0.354*,-0.396**,-0.03,0.03,0.113,-0.301,0.01,-0.058,-0.239,-0.343*
I4,-0.401*,-0.504**,-0.135,-0.228,-0.17,-0.489*,-0.284,0,-0.089,-0.154,-0.445*,-0.724**,-0.339,0.081,-0.392,-0.504*,-0.134,-0.027,-0.524**,-0.332,-0.539**,-0.638**,-0.68**,-0.314,-0.254,-0.171,-0.585**,-0.274,-0.342,-0.523*,-0.627**
I5,-0.312,-0.415*,-0.046,-0.139,-0.081,-0.4,-0.195,0.089,0,-0.065,-0.357,-0.635**,-0.25,0.17,-0.303,-0.415,-0.045,0.062,-0.436**,-0.243,-0.45*,-0.549**,-0.591**,-0.225,-0.165,-0.082,-0.496**,-0.185,-0.253,-0.434,-0.538**
I6,-0.246,-0.35,0.019,-0.074,-0.015,-0.335,-0.13,0.154,0.065,0,-0.291,-0.569**,-0.184,0.236,-0.238,-0.35,0.021,0.127,-0.37*,-0.178,-0.384*,-0.484**,-0.525**,-0.159,-0.1,-0.017,-0.43*,-0.12,-0.188,-0.369,-0.473**
I7,0.045,-0.059,0.31,0.217,0.276,-0.044,0.162,0.445*,0.357,0.291,0,-0.278,0.107,0.527**,0.053,-0.059,0.312,0.418,-0.079,0.113,-0.093,-0.193,-0.234,0.132,0.191,0.274,-0.139,0.171,0.103,-0.078,-0.182
