,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,0.696,0.272,-0.122,0.157,0.106,-0.174,0.481,0.668,0.891,0.064,0.711,-0.14,1.189,0.109,0.049,-0.022,0.203,0.308,-0.153,-0.075,-0.202,-0.14,0.32,-0.406,-0.389,0.517,0.787,0.723,0.363,1.102
I10,-0.696,0,-0.423,-0.818,-0.539,-0.59,-0.87,-0.215,-0.028,0.195,-0.632,0.016,-0.836,0.493,-0.586,-0.647,-0.718,-0.493,-0.388,-0.848,-0.771,-0.898,-0.836,-0.376,-1.102,-1.085,-0.179,0.091,0.027,-0.333,0.406
I11,-0.272,0.423,0,-0.395,-0.116,-0.166,-0.447,0.209,0.395,0.619,-0.208,0.439,-0.412,0.917,-0.163,-0.223,-0.294,-0.069,0.035,-0.425,-0.347,-0.474,-0.413,0.048,-0.678,-0.661,0.244,0.515,0.45,0.09,0.829
I12,0.122,0.818,0.395,0,0.279,0.228,-0.052,0.603,0.79,1.013,0.186,0.834,-0.018,1.311,0.232,0.171,0.1,0.325,0.43,-0.03,0.047,-0.08,-0.018,0.442,-0.284,-0.267,0.639,0.909,0.845,0.485,1.224
I16,-0.157,0.539,0.116,-0.279,0,-0.05,-0.331,0.324,0.511,0.734,-0.093,0.555,-0.297,1.032,-0.047,-0.107,-0.179,0.047,0.151,-0.309,-0.232,-0.359,-0.297,0.163,-0.563,-0.546,0.36,0.63,0.566,0.206,0.945
I2,-0.106,0.59,0.166,-0.228,0.05,0,-0.281,0.375,0.562,0.785,-0.042,0.605,-0.246,1.083,0.003,-0.057,-0.128,0.097,0.201,-0.259,-0.181,-0.308,-0.247,0.214,-0.512,-0.495,0.41,0.681,0.617,0.256,0.995
I3,0.174,0.87,0.447,0.052,0.331,0.281,0,0.656,0.842,1.065,0.239,0.886,0.034,1.364,0.284,0.224,0.153,0.378,0.482,0.022,0.1,-0.028,0.034,0.494,-0.231,-0.214,0.691,0.962,0.897,0.537,1.276
I4,-0.481,0.215,-0.209,-0.603,-0.324,-0.375,-0.656,0,0.187,0.41,-0.417,0.23,-0.621,0.708,-0.372,-0.432,-0.503,-0.278,-0.174,-0.634,-0.556,-0.683,-0.621,-0.161,-0.887,-0.87,0.035,0.306,0.242,-0.118,0.62
I5,-0.668,0.028,-0.395,-0.79,-0.511,-0.562,-0.842,-0.187,0,0.223,-0.604,0.043,-0.808,0.521,-0.558,-0.619,-0.69,-0.465,-0.36,-0.821,-0.743,-0.87,-0.808,-0.348,-1.074,-1.057,-0.151,0.119,0.055,-0.305,0.434
I6,-0.891,-0.195,-0.619,-1.013,-0.734,-0.785,-1.065,-0.41,-0.223,0,-0.827,-0.18,-1.031,0.298,-0.781,-0.842,-0.913,-0.688,-0.583,-1.044,-0.966,-1.093,-1.031,-0.571,-1.297,-1.28,-0.374,-0.104,-0.168,-0.528,0.211
I7,-0.064,0.632,0.208,-0.186,0.093,0.042,-0.239,0.417,0.604,0.827,0,0.647,-0.204,1.125,0.045,-0.015,-0.086,0.139,0.244,-0.217,-0.139,-0.266,-0.204,0.256,-0.47,-0.453,0.453,0.723,0.659,0.299,1.037
I8,-0.711,-0.016,-0.439,-0.834,-0.555,-0.605,-0.886,-0.23,-0.043,0.18,-0.647,0,-0.851,0.478,-0.602,-0.662,-0.733,-0.508,-0.404,-0.864,-0.786,-0.913,-0.852,-0.391,-1.117,-1.1,-0.195,0.076,0.011,-0.349,0.39
I9,0.14,0.836,0.412,0.018,0.297,0.246,-0.034,0.621,0.808,1.031,0.204,0.851,0,1.329,0.249,0.189,0.118,0.343,0.448,-0.013,0.065,-0.062,0,0.46,-0.266,-0.249,0.657,0.927,0.863,0.503,1.241
N10,-1.189,-0.493,-0.917,-1.311,-1.032,-1.083,-1.364,-0.708,-0.521,-0.298,-1.125,-0.478,-1.329,0,-1.08,-1.14,-1.211,-0.986,-0.881,-1.342,-1.264,-1.391,-1.329,-0.869,-1.595,-1.578,-0.673,-0.402,-0.466,-0.826,-0.088
N12,-0.109,0.586,0.163,-0.232,0.047,-0.003,-0.284,0.372,0.558,0.781,-0.045,0.602,-0.249,1.08,0,-0.06,-0.131,0.094,0.198,-0.262,-0.184,-0.312,-0.25,0.211,-0.515,-0.498,0.407,0.678,0.613,0.253,0.992
N16,-0.049,0.647,0.223,-0.171,0.107,0.057,-0.224,0.432,0.619,0.842,0.015,0.662,-0.189,1.14,0.06,0,-0.071,0.154,0.258,-0.202,-0.124,-0.251,-0.19,0.271,-0.455,-0.438,0.467,0.738,0.674,0.313,1.052
