,I1,I10,I11,I12,I16,I2,I3,I4,I5,I6,I7,I8,I9,N10,N12,N16,N18,N19,N20,N21,N22,N23,N24,N26,N27,N29,N30,N31,N32,N8,N9
I1,0,0.552,0.505,0.232,0.467,0.117,-0.063,0.333,0.358,0.607,0.384,-0.04,-0.09,0.715,0.391,0.211,0.266,0.448,0.218,0.585,0.324,0.049,0.031,0.424,0.346,0.055,0.116,0.354,0.228,0.246,0.265
I10,-0.552,0,-0.047,-0.32,-0.085,-0.435,-0.615,-0.219,-0.194,0.055,-0.168,-0.592,-0.642,0.163,-0.162,-0.341,-0.286,-0.104,-0.334,0.033,-0.228,-0.503,-0.521,-0.128,-0.206,-0.497,-0.436,-0.198,-0.324,-0.307,-0.287
I11,-0.505,0.047,0,-0.273,-0.038,-0.388,-0.568,-0.172,-0.146,0.102,-0.12,-0.545,-0.595,0.21,-0.114,-0.294,-0.238,-0.056,-0.287,0.08,-0.18,-0.456,-0.473,-0.081,-0.159,-0.449,-0.388,-0.151,-0.277,-0.259,-0.24
I12,-0.232,0.32,0.273,0,0.235,-0.115,-0.295,0.101,0.127,0.375,0.153,-0.272,-0.322,0.483,0.159,-0.021,0.035,0.217,-0.014,0.353,0.093,-0.183,-0.2,0.192,0.114,-0.176,-0.115,0.122,-0.004,0.014,0.033
I16,-0.467,0.085,0.038,-0.235,0,-0.35,-0.53,-0.134,-0.109,0.14,-0.083,-0.507,-0.557,0.248,-0.077,-0.256,-0.201,-0.019,-0.249,0.118,-0.143,-0.418,-0.436,-0.043,-0.121,-0.412,-0.351,-0.113,-0.239,-0.222,-0.202
I2,-0.117,0.435,0.388,0.115,0.35,0,-0.18,0.217,0.242,0.49,0.268,-0.157,-0.206,0.598,0.274,0.094,0.15,0.332,0.101,0.468,0.208,-0.068,-0.085,0.307,0.229,-0.061,0,0.237,0.111,0.129,0.149
I3,0.063,0.615,0.568,0.295,0.53,0.18,0,0.397,0.422,0.67,0.448,0.023,-0.026,0.779,0.454,0.274,0.33,0.512,0.281,0.648,0.388,0.112,0.095,0.487,0.409,0.119,0.18,0.417,0.291,0.309,0.329
I4,-0.333,0.219,0.172,-0.101,0.134,-0.217,-0.397,0,0.025,0.274,0.051,-0.373,-0.423,0.382,0.057,-0.122,-0.067,0.115,-0.115,0.251,-0.009,-0.284,-0.302,0.091,0.012,-0.278,-0.217,0.021,-0.105,-0.088,-0.068
I5,-0.358,0.194,0.146,-0.127,0.109,-0.242,-0.422,-0.025,0,0.249,0.026,-0.398,-0.448,0.357,0.032,-0.147,-0.092,0.09,-0.141,0.226,-0.034,-0.31,-0.327,0.066,-0.013,-0.303,-0.242,-0.005,-0.131,-0.113,-0.093
I6,-0.607,-0.055,-0.102,-0.375,-0.14,-0.49,-0.67,-0.274,-0.249,0,-0.223,-0.647,-0.697,0.108,-0.217,-0.396,-0.341,-0.159,-0.389,-0.022,-0.283,-0.558,-0.576,-0.183,-0.261,-0.552,-0.491,-0.253,-0.379,-0.362,-0.342
I7,-0.384,0.168,0.12,-0.153,0.083,-0.268,-0.448,-0.051,-0.026,0.223,0,-0.424,-0.474,0.331,0.006,-0.173,-0.118,0.064,-0.167,0.2,-0.06,-0.335,-0.353,0.04,-0.039,-0.329,-0.268,-0.03,-0.156,-0.139,-0.119
I8,0.04,0.592,0.545,0.272,0.507,0.157,-0.023,0.373,0.398,0.647,0.424,0,-0.05,0.755,0.431,0.251,0.306,0.488,0.258,0.625,0.364,0.089,0.071,0.464,0.386,0.095,0.156,0.394,0.268,0.286,0.305
I9,0.09,0.642,0.595,0.322,0.557,0.206,0.026,0.423,0.448,0.697,0.474,0.05,0,0.805,0.48,0.301,0.356,0.538,0.308,0.674,0.414,0.139,0.121,0.514,0.435,0.145,0.206,0.444,0.318,0.335,0.355
N10,-0.715,-0.163,-0.21,-0.483,-0.248,-0.598,-0.779,-0.382,-0.357,-0.108,-0.331,-0.755,-0.805,0,-0.325,-0.504,-0.449,-0.267,-0.497,-0.13,-0.391,-0.666,-0.684,-0.291,-0.37,-0.66,-0.599,-0.361,-0.487,-0.47,-0.45
N12,-0.391,0.162,0.114,-0.159,0.077,-0.274,-0.454,-0.057,-0.032,0.217,-0.006,-0.431,-0.48,0.325,0,-0.179,-0.124,0.058,-0.173,0.194,-0.066,-0.342,-0.359,0.033,-0.045,-0.335,-0.274,-0.037,-0.163,-0.145,-0.125
N16,-0.211,0.341,0.294,0.021,0.256,-0.094,-0.274,0.122,0.147,0.396,0.173,-0.251,-0.301,0.504,0.179,0,0.055,0.237,0.007,0.374,0.113,-0.162,-0.18,0.213,0.135,-0.156,-0.095,0.143,0.017,0.034,0.054
