"","Population","X","species","x_min","draw","x_max","shape1","shape2","stretch","nu","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low","opt_breadth_high","opt_breadth","x_minBT","x_maxBT","stretchBT","maximaBT","breadthBT","B50_low","B50_high","B50","Range"
"1","I1",4000.5,1,-22.9931271625,4000.5,18.3597444375,2.84877298125,2.72171841375,0.996148562125,11.58991403375,3.34464239342989,41.3528716,41.1479567374671,0.996148562125,4000.5,0.894792173240986,-9.01718236540404,13.0662721050505,22.0834544704545,5.31622535548561,46.6690969554856,0.46408910338353,31.6539949114155,41.3528716,19.2921701525816,41.3756246230361,22.0834544704545,"I"
"2","I10",12000.5,2,-22.441056925,4000.5,19.0555624,2.80648435625,3.0938023175,0.892706270125,9.8592635325,2.38565589969768,41.496619325,37.0077451189596,0.892706270125,12000.5,0.812213376735237,-9.54659518623737,12.3707331339646,21.917328320202,5.86829559298561,47.3649149179856,0.415897054153634,30.6950084176833,41.496619325,18.7627573317482,40.6800856519503,21.917328320202,"I"
"3","I11",20000.5,3,-22.4882956625,4000.5,18.6322161375,3.14031336,3.60959179375,1.26142142,7.51513548375,2.42864265614008,41.1205118,51.8227033419069,1.26142142,20000.5,1.24477531543017,-8.37291968914141,11.450658115404,19.8235778045455,5.82105685548561,46.9415686554856,0.587675330823917,30.7379951741257,41.1205118,19.9364328288442,39.7600106333897,19.8235778045455,"I"
"4","I12",28000.5,4,-22.7612698375,4000.5,18.2375588375,2.80676041375,2.9732908625,1.168546899625,14.384731595,2.19207951608432,40.998828675,47.8615812325218,1.168546899625,28000.5,1.05487622526074,-9.74884658775252,12.019041922601,21.7678885103535,5.54808268048561,46.5469113554856,0.54440663122748,30.5014320340699,40.998828675,18.5605059302331,40.3283944405866,21.7678885103535,"I"
"5","I16",36000.5,5,-22.526060675,4000.5,18.516464375,3.0459074525,3.1165806,1.2272278935,12.75480058375,3.2716310909419,41.04252505,50.306669043982,1.2272278935,36000.5,1.17208670869747,-8.19758884949495,12.5025845381313,20.7001733876263,5.78329184298561,46.8258168929856,0.571745133604082,31.5809836089275,41.04252505,20.1117636684907,40.8119370561169,20.7001733876263,"I"
"6","I2",44000.5,6,-22.87634865,4000.5,18.46602155,2.64989603,3.1401603475,0.907725870125,8.741333625,0.699717979641992,41.3423702,37.4842193442083,0.907725870125,44000.5,0.805014353542618,-11.301044427904,11.1368122262626,22.4378566541667,5.43300386798561,46.7753740679856,0.4228944368355,29.0090704976276,41.3423702,17.0083080900816,39.4461647442482,22.4378566541667,"I"
"7","I3",52000.5,7,-23.0564525125,4000.5,18.185292375,3.15336461375,3.01357516375,1.112901024875,9.0845734575,3.71673221873076,41.2417448875,45.8502435249597,1.112901024875,52000.5,1.06943084993254,-7.73236996287879,12.677359617298,20.4097295801768,5.25290000548561,46.4946448929856,0.518482140542446,32.0260847367164,41.2417448875,20.5769825551068,40.9867121352836,20.4097295801768,"I"
"8","I4",60000.5,8,-22.6598407,4000.5,18.840935,3.19942174875,2.60292903625,1.396808911625,8.07502631375,5.94532237837823,41.5007757,57.9091837034383,1.396808911625,60000.5,1.34065295928606,-5.95189911010101,14.6491208520202,20.6010199621212,5.64951181798561,47.1502875179856,0.650750119049839,34.2546748963638,41.5007757,22.3574534078846,42.9584733700058,20.6010199621212,"I"
"9","I5",68000.5,9,-22.63469545,4000.5,19.0275986375,2.86799663875,3.14693993125,1.307897872,9.55161469125,2.47242779732842,41.6622940875,54.4365739151615,1.307897872,68000.5,1.20527100726875,-9.33276200656566,12.3021595718434,21.6349215784091,5.67465706798561,47.3369511554856,0.609327939437953,30.781780315314,41.6622940875,18.97659051142,40.611512089829,21.6349215784091,"I"
"10","I6",76000.5,10,-22.3860705625,4000.5,19.25073135,2.78210387625,2.89527440625,1.242410067125,8.69600022875,3.05299205433838,41.6368019125,51.6709442786319,1.242410067125,76000.5,1.11333315051996,-9.21244579191919,13.1090187106061,22.3214645025253,5.92328195548561,47.5600838679856,0.578818256643089,31.362344572324,41.6368019125,19.0969067260664,41.4183712285917,22.3214645025253,"I"
"11","I7",84000.5,11,-22.6087361875,4000.5,18.423814975,3.0674898425,3.0740453975,0.951332089875,9.05124457625,3.44160968243021,41.0325511625,38.9912509369719,0.951332089875,84000.5,0.904936833257375,-7.99441442260101,12.5577714257576,20.5521858483586,5.70061633048561,46.7331674929856,0.443209851819941,31.7509622004158,41.0325511625,20.3149380953846,40.8671239437432,20.5521858483586,"I"
