"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",2.85,0,0.3,2.31,2.64,2.83,3.04,3.5,4162.92,1
"shape1[2]",2.81,0,0.34,2.2,2.57,2.78,3.02,3.52,4547.39,1
"shape1[3]",3.14,0.01,0.39,2.43,2.87,3.12,3.39,3.95,3767.67,1
"shape1[4]",2.81,0.01,0.28,2.28,2.61,2.8,2.99,3.38,2615.9,1
"shape1[5]",3.05,0.01,0.41,2.29,2.76,3.02,3.31,3.92,4879.81,1
"shape1[6]",2.65,0.01,0.33,2.11,2.41,2.62,2.85,3.39,3741.54,1
"shape1[7]",3.15,0.01,0.38,2.47,2.89,3.13,3.39,3.99,4273.7,1
"shape1[8]",3.2,0.01,0.32,2.63,2.98,3.18,3.4,3.86,3499.98,1
"shape1[9]",2.87,0.01,0.32,2.27,2.65,2.85,3.08,3.57,3535.23,1
"shape1[10]",2.78,0.01,0.3,2.23,2.57,2.77,2.98,3.4,3181.93,1
"shape1[11]",3.07,0,0.32,2.48,2.85,3.05,3.28,3.7,4392.43,1
"shape1[12]",2.68,0.01,0.35,2.13,2.43,2.63,2.88,3.51,4713.23,1
"shape1[13]",2.76,0.01,0.36,2.18,2.51,2.72,2.96,3.6,4978,1
"shape1[14]",2.82,0.01,0.3,2.27,2.6,2.8,3.01,3.46,3349.89,1
"shape1[15]",2.48,0,0.27,2.04,2.27,2.45,2.66,3.06,3605.72,1
"shape1[16]",2.96,0.01,0.41,2.27,2.67,2.92,3.22,3.88,4464.02,1
"shape1[17]",2.87,0.01,0.34,2.26,2.64,2.85,3.09,3.58,3447.44,1
"shape1[18]",3.07,0.01,0.4,2.36,2.79,3.04,3.32,3.92,4316.23,1
"shape1[19]",2.67,0.01,0.28,2.18,2.47,2.65,2.84,3.26,2856.07,1
"shape1[20]",2.77,0.01,0.33,2.17,2.54,2.75,2.98,3.45,2874.71,1
"shape1[21]",3.06,0.01,0.36,2.39,2.8,3.04,3.29,3.83,4915.18,1
"shape1[22]",3.04,0.01,0.41,2.35,2.75,3,3.3,3.93,6074.3,1
"shape1[23]",2.9,0.01,0.37,2.27,2.63,2.86,3.12,3.71,5245.54,1
"shape1[24]",3,0.01,0.31,2.43,2.79,2.99,3.2,3.65,3438.38,1
"shape1[25]",2.94,0.01,0.33,2.34,2.71,2.92,3.15,3.65,3725.77,1
"shape1[26]",3.06,0.01,0.35,2.44,2.81,3.04,3.28,3.78,4554.91,1
"shape1[27]",2.78,0.01,0.41,2.14,2.49,2.73,3.01,3.76,4846.09,1
"shape1[28]",2.58,0,0.29,2.09,2.37,2.55,2.76,3.21,3549.01,1
"shape1[29]",2.7,0.01,0.32,2.15,2.48,2.67,2.89,3.42,3452.63,1
"shape1[30]",3.32,0.01,0.47,2.5,2.98,3.29,3.63,4.3,6319.89,1
"shape1[31]",2.59,0,0.28,2.11,2.39,2.56,2.76,3.2,4303.75,1
"shape2[1]",2.72,0.01,0.44,2.06,2.39,2.66,2.98,3.76,5803.88,1
"shape2[2]",3.09,0.01,0.52,2.21,2.72,3.05,3.41,4.23,6021.05,1
"shape2[3]",3.61,0.01,0.6,2.55,3.19,3.58,3.99,4.89,5006.52,1
"shape2[4]",2.97,0.01,0.46,2.2,2.64,2.93,3.26,3.98,3630.06,1
"shape2[5]",3.12,0.01,0.61,2.15,2.67,3.04,3.48,4.51,5438.08,1
"shape2[6]",3.14,0.01,0.52,2.26,2.76,3.09,3.46,4.29,4716.83,1
"shape2[7]",3.01,0.01,0.55,2.14,2.61,2.95,3.34,4.25,5084.9,1
"shape2[8]",2.6,0.01,0.43,2.03,2.27,2.52,2.85,3.61,6486.7,1
"shape2[9]",3.15,0.01,0.5,2.27,2.79,3.11,3.47,4.2,5016.12,1
"shape2[10]",2.9,0.01,0.43,2.15,2.59,2.86,3.17,3.85,4245.8,1
"shape2[11]",3.07,0.01,0.52,2.19,2.7,3.03,3.4,4.23,5280.35,1
"shape2[12]",2.55,0,0.4,2.03,2.25,2.47,2.76,3.52,6383.24,1
"shape2[13]",2.59,0.01,0.44,2.02,2.26,2.51,2.82,3.67,6362.65,1
"shape2[14]",2.72,0.01,0.39,2.09,2.43,2.69,2.97,3.56,4730.35,1
"shape2[15]",3.19,0.01,0.51,2.33,2.82,3.16,3.51,4.31,5242.29,1
"shape2[16]",3.41,0.01,0.59,2.36,3.01,3.36,3.78,4.69,4502.32,1
"shape2[17]",3.09,0.01,0.54,2.17,2.7,3.05,3.42,4.27,4452.82,1
"shape2[18]",3.72,0.01,0.61,2.62,3.29,3.69,4.11,5.02,5323.51,1
"shape2[19]",2.97,0.01,0.45,2.2,2.66,2.93,3.24,3.95,4318.58,1
"shape2[20]",3.37,0.01,0.57,2.38,2.98,3.33,3.73,4.62,4432.52,1
"shape2[21]",3.72,0.01,0.59,2.65,3.31,3.68,4.09,4.98,5965.49,1
"shape2[22]",2.7,0.01,0.5,2.04,2.31,2.59,2.98,3.88,5785.79,1
"shape2[23]",3,0.01,0.53,2.16,2.62,2.93,3.32,4.22,5885.51,1
"shape2[24]",3.48,0.01,0.54,2.5,3.1,3.45,3.83,4.61,5592.51,1
"shape2[25]",2.83,0.01,0.52,2.06,2.43,2.76,3.15,4.01,4954.26,1
"shape2[26]",3.11,0.01,0.56,2.17,2.7,3.06,3.45,4.33,5626.82,1
"shape2[27]",2.97,0.01,0.53,2.14,2.58,2.9,3.28,4.21,5601.79,1
"shape2[28]",2.76,0.01,0.43,2.09,2.44,2.7,3.02,3.7,5304.53,1
"shape2[29]",3.15,0.01,0.5,2.3,2.8,3.11,3.45,4.25,5117.25,1
"shape2[30]",2.78,0.01,0.54,2.04,2.35,2.68,3.1,4.05,6192.13,1
"shape2[31]",2.51,0,0.34,2.04,2.25,2.46,2.7,3.32,6448.45,1
"stretch[1]",1,0,0.11,0.8,0.93,0.99,1.06,1.22,9225.5,1
"stretch[2]",0.89,0,0.11,0.69,0.82,0.89,0.96,1.14,10136.68,1
"stretch[3]",1.26,0,0.19,0.93,1.13,1.25,1.38,1.66,11240.44,1
"stretch[4]",1.17,0,0.11,0.96,1.09,1.16,1.24,1.4,8622.53,1
"stretch[5]",1.23,0,0.26,0.78,1.06,1.2,1.36,1.86,8656.32,1
"stretch[6]",0.91,0,0.13,0.67,0.82,0.9,0.99,1.2,10060.89,1
"stretch[7]",1.11,0,0.13,0.87,1.02,1.11,1.2,1.39,9870.43,1
