"","Population","b_pval","ps","Pop_ps"
"1","I1",0.198375,0.2,"I1 (0.2)"
"2","I10",0.698,0.7,"I10 (0.7)"
"3","I11",0.821375,0.82,"I11 (0.82)"
"4","I12",0.482125,0.48,"I12 (0.48)"
"5","I16",0.54275,0.54,"I16 (0.54)"
"6","I2",0.565375,0.57,"I2 (0.57)"
"7","I3",0.5215,0.52,"I3 (0.52)"
"8","I4",0.532125,0.53,"I4 (0.53)"
"9","I5",0.711625,0.71,"I5 (0.71)"
"10","I6",0.457125,0.46,"I6 (0.46)"
"11","I7",0.638,0.64,"I7 (0.64)"
"12","I8",0.56975,0.57,"I8 (0.57)"
"13","I9",0.30525,0.31,"I9 (0.31)"
"14","N10",0.33275,0.33,"N10 (0.33)"
"15","N12",0.64025,0.64,"N12 (0.64)"
"16","N16",0.50725,0.51,"N16 (0.51)"
"17","N18",0.401875,0.4,"N18 (0.4)"
"18","N19",0.565625,0.57,"N19 (0.57)"
"19","N20",0.644875,0.64,"N20 (0.64)"
"20","N21",0.542375,0.54,"N21 (0.54)"
"21","N22",0.694625,0.69,"N22 (0.69)"
"22","N23",0.2865,0.29,"N23 (0.29)"
"23","N24",0.3945,0.39,"N24 (0.39)"
"24","N26",0.668625,0.67,"N26 (0.67)"
"25","N27",0.473875,0.47,"N27 (0.47)"
"26","N29",0.3935,0.39,"N29 (0.39)"
"27","N30",0.493375,0.49,"N30 (0.49)"
"28","N31",0.741375,0.74,"N31 (0.74)"
"29","N32",0.6755,0.68,"N32 (0.68)"
"30","N8",0.671375,0.67,"N8 (0.67)"
"31","N9",0.426,0.43,"N9 (0.43)"
